Feature,Metric,Mean,Case
Current_load,MAE,0.18317729460440316,Model_1_SNRidx_2
Current_load,MSE,0.13219489870263842,Model_1_SNRidx_2
Current_load,RMSE,0.25134774045236463,Model_1_SNRidx_2
Current_measured,MAE,0.17437777701762386,Model_1_SNRidx_2
Current_measured,MSE,0.1269657510097439,Model_1_SNRidx_2
Current_measured,RMSE,0.24242772827071862,Model_1_SNRidx_2
Temperature_measured,MAE,2.1829450300954183,Model_1_SNRidx_2
Temperature_measured,MSE,8.228833038072937,Model_1_SNRidx_2
Temperature_measured,RMSE,2.512456939361455,Model_1_SNRidx_2
Voltage_load,MAE,0.12319102657342898,Model_1_SNRidx_2
Voltage_load,MSE,0.05616988571849676,Model_1_SNRidx_2
Voltage_load,RMSE,0.18136557786434962,Model_1_SNRidx_2
Voltage_measured,MAE,0.05868392905050451,Model_1_SNRidx_2
Voltage_measured,MSE,0.00884628907999627,Model_1_SNRidx_2
Voltage_measured,RMSE,0.08393764947134527,Model_1_SNRidx_2
Current_load,MAE,0.14593207706581346,Model_1_SNRidx_3
Current_load,MSE,0.10989154158468288,Model_1_SNRidx_3
Current_load,RMSE,0.20732433945921383,Model_1_SNRidx_3
Current_measured,MAE,0.14021553875020137,Model_1_SNRidx_3
Current_measured,MSE,0.10790925666679015,Model_1_SNRidx_3
Current_measured,RMSE,0.20160271048675363,Model_1_SNRidx_3
Temperature_measured,MAE,1.6055447679924857,Model_1_SNRidx_3
Temperature_measured,MSE,4.506094780111269,Model_1_SNRidx_3
Temperature_measured,RMSE,1.8888336277752704,Model_1_SNRidx_3
Voltage_load,MAE,0.1020628169944224,Model_1_SNRidx_3
Voltage_load,MSE,0.04735994024058834,Model_1_SNRidx_3
Voltage_load,RMSE,0.1569105458018516,Model_1_SNRidx_3
Voltage_measured,MAE,0.04627132216668446,Model_1_SNRidx_3
Voltage_measured,MSE,0.00595482655144095,Model_1_SNRidx_3
Voltage_measured,RMSE,0.06705435793526252,Model_1_SNRidx_3
Current_load,MAE,0.12857592668044512,Model_1_SNRidx_4
Current_load,MSE,0.1021820875812826,Model_1_SNRidx_4
Current_load,RMSE,0.18653531519030325,Model_1_SNRidx_4
Current_measured,MAE,0.12400142882265161,Model_1_SNRidx_4
Current_measured,MSE,0.10086424030214476,Model_1_SNRidx_4
Current_measured,RMSE,0.18207996336354917,Model_1_SNRidx_4
Temperature_measured,MAE,1.3164753782659697,Model_1_SNRidx_4
Temperature_measured,MSE,3.0777233571556484,Model_1_SNRidx_4
Temperature_measured,RMSE,1.5709914837822878,Model_1_SNRidx_4
Voltage_load,MAE,0.09171683515028191,Model_1_SNRidx_4
Voltage_load,MSE,0.04376782396465992,Model_1_SNRidx_4
Voltage_load,RMSE,0.1446308032809143,Model_1_SNRidx_4
Voltage_measured,MAE,0.039127573925324996,Model_1_SNRidx_4
Voltage_measured,MSE,0.00467532785233607,Model_1_SNRidx_4
Voltage_measured,RMSE,0.05734877889531437,Model_1_SNRidx_4
Current_load,MAE,0.11989745075441158,Model_1_SNRidx_5
Current_load,MSE,0.09903614049499335,Model_1_SNRidx_5
Current_load,RMSE,0.17619506465000984,Model_1_SNRidx_5
Current_measured,MAE,0.11613147654976623,Model_1_SNRidx_5
Current_measured,MSE,0.0979279596832862,Model_1_SNRidx_5
Current_measured,RMSE,0.1725127860613869,Model_1_SNRidx_5
Temperature_measured,MAE,1.1686535730638754,Model_1_SNRidx_5
Temperature_measured,MSE,2.4677579216275616,Model_1_SNRidx_5
Temperature_measured,RMSE,1.4058552212982218,Model_1_SNRidx_5
Voltage_load,MAE,0.08653231582224157,Model_1_SNRidx_5
Voltage_load,MSE,0.04216251454566374,Model_1_SNRidx_5
Voltage_load,RMSE,0.1383849035452136,Model_1_SNRidx_5
Voltage_measured,MAE,0.03506718389561915,Model_1_SNRidx_5
Voltage_measured,MSE,0.00408037430236654,Model_1_SNRidx_5
Voltage_measured,RMSE,0.05185817379665506,Model_1_SNRidx_5
Current_load,MAE,0.11530272927203508,Model_1_SNRidx_6
Current_load,MSE,0.09761547525177418,Model_1_SNRidx_6
Current_load,RMSE,0.17088877108523307,Model_1_SNRidx_6
Current_measured,MAE,0.11220085544891112,Model_1_SNRidx_6
Current_measured,MSE,0.09659600775382782,Model_1_SNRidx_6
Current_measured,RMSE,0.16771661757970363,Model_1_SNRidx_6
Temperature_measured,MAE,1.09129271082968,Model_1_SNRidx_6
Temperature_measured,MSE,2.1858568981479083,Model_1_SNRidx_6
Temperature_measured,RMSE,1.3190377089141698,Model_1_SNRidx_6
Voltage_load,MAE,0.08387498424560816,Model_1_SNRidx_6
Voltage_load,MSE,0.041401795895576035,Model_1_SNRidx_6
Voltage_load,RMSE,0.13518000136228664,Model_1_SNRidx_6
Voltage_measured,MAE,0.03280401614814222,Model_1_SNRidx_6
Voltage_measured,MSE,0.0037947880546854696,Model_1_SNRidx_6
Voltage_measured,RMSE,0.0488258508527529,Model_1_SNRidx_6
Current_load,MAE,0.11283531580613589,Model_1_SNRidx_7
Current_load,MSE,0.0969384521321903,Model_1_SNRidx_7
Current_load,RMSE,0.16814679174592878,Model_1_SNRidx_7
Current_measured,MAE,0.11019596673920565,Model_1_SNRidx_7
Current_measured,MSE,0.0959620039270736,Model_1_SNRidx_7
Current_measured,RMSE,0.16529019456377747,Model_1_SNRidx_7
Temperature_measured,MAE,1.0507009153198223,Model_1_SNRidx_7
Temperature_measured,MSE,2.049301893687532,Model_1_SNRidx_7
Temperature_measured,RMSE,1.2735722969305425,Model_1_SNRidx_7
Voltage_load,MAE,0.08251471581650215,Model_1_SNRidx_7
Voltage_load,MSE,0.04102850191892461,Model_1_SNRidx_7
Voltage_load,RMSE,0.1335336457754957,Model_1_SNRidx_7
Voltage_measured,MAE,0.03157691278522229,Model_1_SNRidx_7
Voltage_measured,MSE,0.00365480806642684,Model_1_SNRidx_7
Voltage_measured,RMSE,0.04719710465247317,Model_1_SNRidx_7
Current_load,MAE,0.1115169333381492,Model_1_SNRidx_8
Current_load,MSE,0.09660647661723124,Model_1_SNRidx_8
Current_load,RMSE,0.1667335917741769,Model_1_SNRidx_8
Current_measured,MAE,0.10916058117713674,Model_1_SNRidx_8
Current_measured,MSE,0.09565163676448936,Model_1_SNRidx_8
Current_measured,RMSE,0.16406142859912415,Model_1_SNRidx_8
Temperature_measured,MAE,1.0294485063561103,Model_1_SNRidx_8
Temperature_measured,MSE,1.9812261135534939,Model_1_SNRidx_8
Temperature_measured,RMSE,1.249905039065856,Model_1_SNRidx_8
Voltage_load,MAE,0.08181144475019309,Model_1_SNRidx_8
Voltage_load,MSE,0.04084094068233844,Model_1_SNRidx_8
Voltage_load,RMSE,0.13268446657818042,Model_1_SNRidx_8
Voltage_measured,MAE,0.030932482194842858,Model_1_SNRidx_8
Voltage_measured,MSE,0.0035859980824104903,Model_1_SNRidx_8
Voltage_measured,RMSE,0.0463450955763463,Model_1_SNRidx_8
Current_load,MAE,0.22102693328280246,Model_2_SNRidx_2
Current_load,MSE,0.1942216410341917,Model_2_SNRidx_2
Current_load,RMSE,0.32366936488417913,Model_2_SNRidx_2
Current_measured,MAE,0.20861867763043604,Model_2_SNRidx_2
Current_measured,MSE,0.17923129492669013,Model_2_SNRidx_2
Current_measured,RMSE,0.30421796031417936,Model_2_SNRidx_2
Temperature_measured,MAE,2.6478330795664053,Model_2_SNRidx_2
Temperature_measured,MSE,13.32343064547545,Model_2_SNRidx_2
Temperature_measured,RMSE,3.383837160794234,Model_2_SNRidx_2
Voltage_load,MAE,0.19782174430893193,Model_2_SNRidx_2
Voltage_load,MSE,0.12107697588458996,Model_2_SNRidx_2
Voltage_load,RMSE,0.27848577829997934,Model_2_SNRidx_2
Voltage_measured,MAE,0.08462422122830623,Model_2_SNRidx_2
Voltage_measured,MSE,0.013874619533837701,Model_2_SNRidx_2
Voltage_measured,RMSE,0.11127544570851693,Model_2_SNRidx_2
Current_load,MAE,0.14348039365526727,Model_2_SNRidx_3
Current_load,MSE,0.11568347303630844,Model_2_SNRidx_3
Current_load,RMSE,0.21050935396692538,Model_2_SNRidx_3
Current_measured,MAE,0.13690127904909694,Model_2_SNRidx_3
Current_measured,MSE,0.11114227697994161,Model_2_SNRidx_3
Current_measured,RMSE,0.19981108710430925,Model_2_SNRidx_3
Temperature_measured,MAE,1.7578177668811072,Model_2_SNRidx_3
Temperature_measured,MSE,5.712267095022815,Model_2_SNRidx_3
Temperature_measured,RMSE,2.246194753053331,Model_2_SNRidx_3
Voltage_load,MAE,0.13065116111732927,Model_2_SNRidx_3
Voltage_load,MSE,0.05977693794686515,Model_2_SNRidx_3
Voltage_load,RMSE,0.18553453466910302,Model_2_SNRidx_3
Voltage_measured,MAE,0.0593819455475027,Model_2_SNRidx_3
Voltage_measured,MSE,0.00707086654305204,Model_2_SNRidx_3
Voltage_measured,RMSE,0.07807561138380545,Model_2_SNRidx_3
Current_load,MAE,0.1069109981024966,Model_2_SNRidx_4
Current_load,MSE,0.09370822818073385,Model_2_SNRidx_4
Current_load,RMSE,0.15770347202197438,Model_2_SNRidx_4
Current_measured,MAE,0.10366882699172433,Model_2_SNRidx_4
Current_measured,MSE,0.09253781402431395,Model_2_SNRidx_4
Current_measured,RMSE,0.1526541185855125,Model_2_SNRidx_4
Temperature_measured,MAE,1.2177634161040518,Model_2_SNRidx_4
Temperature_measured,MSE,2.6915738638828817,Model_2_SNRidx_4
Temperature_measured,RMSE,1.5546092636973907,Model_2_SNRidx_4
Voltage_load,MAE,0.0981670550117841,Model_2_SNRidx_4
Voltage_load,MSE,0.042675297384123824,Model_2_SNRidx_4
Voltage_load,RMSE,0.14281513337628374,Model_2_SNRidx_4
Voltage_measured,MAE,0.04327935687046231,Model_2_SNRidx_4
Voltage_measured,MSE,0.00408500448246555,Model_2_SNRidx_4
Voltage_measured,RMSE,0.05704019689723792,Model_2_SNRidx_4
Current_load,MAE,0.08796756979976267,Model_2_SNRidx_5
Current_load,MSE,0.08703714752205834,Model_2_SNRidx_5
Current_load,RMSE,0.13247019785966302,Model_2_SNRidx_5
Current_measured,MAE,0.08660231190473275,Model_2_SNRidx_5
Current_measured,MSE,0.08681454311710393,Model_2_SNRidx_5
Current_measured,RMSE,0.13017362063524937,Model_2_SNRidx_5
Temperature_measured,MAE,0.8755425321544601,Model_2_SNRidx_5
Temperature_measured,MSE,1.4024859232082423,Model_2_SNRidx_5
Temperature_measured,RMSE,1.1201971440161271,Model_2_SNRidx_5
Voltage_load,MAE,0.08138944783506559,Model_2_SNRidx_5
Voltage_load,MSE,0.037560115054684706,Model_2_SNRidx_5
Voltage_load,RMSE,0.12332351215669708,Model_2_SNRidx_5
Voltage_measured,MAE,0.0327349613661199,Model_2_SNRidx_5
Voltage_measured,MSE,0.00272378794331112,Model_2_SNRidx_5
Voltage_measured,RMSE,0.04359349946475815,Model_2_SNRidx_5
Current_load,MAE,0.07726096049234935,Model_2_SNRidx_6
Current_load,MSE,0.08448915142129768,Model_2_SNRidx_6
