Processed Data Summary:
    SNR                 Model       MSE
0     3                   GRU  1.859708
1     3  Inverted-Transformer  1.145588
2     3                  LSTM  1.495210
3     3           Transformer  1.477419
4     6                   GRU  0.767486
5     6  Inverted-Transformer  0.435226
6     6                  LSTM  0.605409
7     6           Transformer  0.579919
8     9                   GRU  0.430288
9     9  Inverted-Transformer  0.252078
10    9                  LSTM  0.286821
11    9           Transformer  0.298917
12   12                   GRU  0.257404
13   12  Inverted-Transformer  0.171055
14   12                  LSTM  0.196305
15   12           Transformer  0.185842
16   15                   GRU  0.188458
17   15  Inverted-Transformer  0.138586
18   15                  LSTM  0.152256
19   15           Transformer  0.136557
20   18                   GRU  0.156880
21   18  Inverted-Transformer  0.119320
22   18                  LSTM  0.132384
23   18           Transformer  0.110547
24   21                   GRU  0.139923
25   21  Inverted-Transformer  0.104533
26   21                  LSTM  0.120693
27   21           Transformer  0.095549
