Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,172.69,172.69,1.109670,1.103329,1.103329,0.000010
2,162.55,167.62,1.079904,1.092249,1.092249,0.000010
3,173.29,169.51,1.070714,1.085479,1.085479,0.000010
4,171.73,170.06,1.065748,1.081979,1.081979,0.000010
5,172.08,170.47,1.063056,1.079891,1.079891,0.000010
6,172.32,170.78,1.061276,1.077915,1.077915,0.000010
7,162.29,169.57,1.059878,1.076318,1.076318,0.000010
8,172.11,169.88,1.058184,1.073097,1.073097,0.000010
9,172.08,170.13,1.005705,0.926918,0.926918,0.000010
10,173.61,170.48,0.867872,0.844094,0.844094,0.000010
11,171.52,170.57,0.819429,0.816239,0.816239,0.000010
12,168.38,170.39,0.792847,0.792696,0.792696,0.000010
13,166.46,170.09,0.768629,0.768851,0.768851,0.000010
14,169.10,170.02,0.743464,0.747178,0.747178,0.000010
15,171.96,170.15,0.716005,0.705292,0.705292,0.000010
16,170.72,170.18,0.691123,0.682668,0.682668,0.000010
17,169.91,170.17,0.671105,0.658852,0.658852,0.000010
18,161.25,169.67,0.649701,0.619316,0.619316,0.000010
19,173.92,169.89,0.616963,0.560035,0.560035,0.000010
20,170.60,169.93,0.570514,0.497710,0.497710,0.000010
21,173.26,170.09,0.532788,0.468973,0.468973,0.000010
22,172.10,170.18,0.507684,0.446559,0.446559,0.000010
23,162.77,169.86,0.487829,0.429133,0.429133,0.000010
24,171.77,169.94,0.471110,0.408042,0.408042,0.000010
25,173.23,170.07,0.453918,0.391120,0.391120,0.000010
26,171.91,170.14,0.434614,0.371721,0.371721,0.000010
27,171.90,170.20,0.416864,0.339929,0.339929,0.000010
28,168.18,170.13,0.396163,0.319648,0.319648,0.000010
29,168.71,170.08,0.376699,0.305711,0.305711,0.000010
30,174.48,170.23,0.356412,0.273862,0.273862,0.000010
31,172.33,170.30,0.336730,0.261033,0.261033,0.000010
32,173.76,170.41,0.320683,0.237765,0.237765,0.000010
33,173.28,170.49,0.306141,0.220828,0.220828,0.000010
34,163.80,170.30,0.295292,0.207200,0.207200,0.000010
35,171.21,170.32,0.280992,0.199481,0.199481,0.000010
36,171.44,170.35,0.268504,0.183950,0.183950,0.000010
37,173.37,170.44,0.255196,0.170148,0.170148,0.000010
38,172.48,170.49,0.245159,0.160087,0.160087,0.000010
39,172.59,170.54,0.233138,0.152794,0.152794,0.000010
40,170.97,170.55,0.225613,0.148494,0.148494,0.000010
41,173.16,170.62,0.217393,0.142080,0.142080,0.000010
42,172.45,170.66,0.210418,0.139372,0.139372,0.000010
43,171.11,170.67,0.205153,0.130278,0.130278,0.000010
44,173.07,170.73,0.200149,0.129062,0.129062,0.000010
45,172.91,170.77,0.194932,0.129553,0.129062,0.000010
46,171.88,170.80,0.190674,0.124809,0.124809,0.000010
47,171.72,170.82,0.187080,0.119997,0.119997,0.000010
48,173.36,170.87,0.181786,0.117155,0.117155,0.000010
49,164.04,170.73,0.178126,0.111393,0.111393,0.000010
50,170.79,170.73,0.174372,0.109178,0.109178,0.000010
51,171.61,170.75,0.171433,0.111539,0.109178,0.000010
52,171.64,170.77,0.168750,0.104847,0.104847,0.000010
53,172.77,170.80,0.166319,0.106280,0.104847,0.000010
54,171.65,170.82,0.163009,0.103521,0.103521,0.000010
55,164.92,170.71,0.160367,0.100458,0.100458,0.000010
56,172.26,170.74,0.155813,0.099600,0.099600,0.000010
57,170.41,170.74,0.154485,0.098738,0.098738,0.000010
58,170.76,170.74,0.152754,0.097016,0.097016,0.000010
59,172.64,170.77,0.150457,0.096354,0.096354,0.000010
60,161.89,170.62,0.148647,0.097396,0.096354,0.000010
61,174.58,170.68,0.146671,0.092676,0.092676,0.000010
62,172.59,170.72,0.144402,0.091414,0.091414,0.000010
63,170.91,170.72,0.142804,0.090865,0.090865,0.000010
64,172.24,170.74,0.140246,0.090600,0.090600,0.000010
65,163.40,170.63,0.139178,0.088175,0.088175,0.000010
66,171.90,170.65,0.137036,0.088549,0.088175,0.000010
67,172.36,170.67,0.135840,0.085851,0.085851,0.000010
68,172.84,170.71,0.135056,0.086063,0.085851,0.000010
69,172.22,170.73,0.133026,0.087789,0.085851,0.000010
70,166.63,170.67,0.131731,0.082591,0.082591,0.000010
71,170.68,170.67,0.129718,0.082868,0.082591,0.000010
72,172.95,170.70,0.127972,0.080877,0.080877,0.000010
73,172.39,170.72,0.127626,0.080416,0.080416,0.000010
74,172.07,170.74,0.126638,0.078660,0.078660,0.000010
75,171.86,170.76,0.125006,0.078201,0.078201,0.000010
76,173.23,170.79,0.124030,0.076611,0.076611,0.000010
77,172.09,170.81,0.122935,0.077775,0.076611,0.000010
78,173.66,170.84,0.121874,0.078199,0.076611,0.000010
79,172.63,170.87,0.120911,0.076784,0.076611,0.000010
80,172.47,170.89,0.120113,0.076046,0.076046,0.000010
