Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,739.07,739.07,0.184410,0.053954,0.053954,0.000010
2,736.13,737.60,0.042765,0.033136,0.033136,0.000010
3,737.02,737.41,0.031031,0.026243,0.026243,0.000010
4,736.77,737.25,0.025456,0.022592,0.022592,0.000010
5,737.62,737.32,0.022162,0.022000,0.022000,0.000010
6,739.57,737.70,0.019626,0.019523,0.019523,0.000010
7,739.59,737.97,0.018639,0.019387,0.019387,0.000010
8,739.77,738.19,0.017050,0.018542,0.018542,0.000010
9,739.57,738.35,0.015907,0.018582,0.018542,0.000010
10,739.98,738.51,0.014717,0.017416,0.017416,0.000010
11,740.11,738.66,0.013600,0.017099,0.017099,0.000010
12,740.05,738.77,0.012760,0.016893,0.016893,0.000010
13,739.94,738.86,0.011962,0.013305,0.013305,0.000010
14,740.42,738.97,0.010784,0.014037,0.013305,0.000010
15,719.28,737.66,0.009982,0.012336,0.012336,0.000010
16,713.43,736.15,0.009780,0.011496,0.011496,0.000010
17,713.40,734.81,0.009199,0.010632,0.010632,0.000010
18,712.80,733.58,0.008893,0.010748,0.010632,0.000010
19,712.52,732.48,0.008774,0.010593,0.010593,0.000010
20,712.74,731.49,0.008481,0.011680,0.010593,0.000010
21,713.09,730.61,0.008219,0.010720,0.010593,0.000010
22,713.91,729.85,0.007797,0.009663,0.009663,0.000010
23,713.72,729.15,0.007762,0.009148,0.009148,0.000010
