Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,22.51,22.51,0.697670,0.520359,0.520359,0.000010
2,22.13,22.32,0.385057,0.341967,0.341967,0.000010
3,23.11,22.58,0.273756,0.296036,0.296036,0.000010
4,22.39,22.53,0.200748,0.224035,0.224035,0.000010
5,22.76,22.58,0.155967,0.127772,0.127772,0.000010
6,22.55,22.58,0.126821,0.123924,0.123924,0.000010
7,22.50,22.56,0.126588,0.161536,0.123924,0.000010
8,22.67,22.58,0.128830,0.078095,0.078095,0.000010
9,22.48,22.57,0.102132,0.149728,0.078095,0.000010
10,22.50,22.56,0.101778,0.114601,0.078095,0.000010
11,22.90,22.59,0.078062,0.081408,0.078095,0.000010
12,23.95,22.70,0.065656,0.079066,0.078095,0.000010
13,23.13,22.74,0.063946,0.075155,0.075155,0.000010
14,23.03,22.76,0.066779,0.047370,0.047370,0.000010
15,22.90,22.77,0.057881,0.050697,0.047370,0.000010
16,22.89,22.78,0.059223,0.048171,0.047370,0.000010
17,23.24,22.80,0.083599,0.045414,0.045414,0.000010
18,22.77,22.80,0.052621,0.061050,0.045414,0.000010
19,22.97,22.81,0.056074,0.041412,0.041412,0.000010
20,23.82,22.86,0.042409,0.076733,0.041412,0.000010
21,23.53,22.89,0.051823,0.043714,0.041412,0.000010
22,23.64,22.93,0.043957,0.040778,0.040778,0.000010
23,23.83,22.97,0.041429,0.034178,0.034178,0.000010
24,24.44,23.03,0.037873,0.036207,0.034178,0.000010
25,22.95,23.02,0.040938,0.035425,0.034178,0.000010
26,23.02,23.02,0.039004,0.036456,0.034178,0.000010
27,23.62,23.05,0.041523,0.066222,0.034178,0.000010
28,23.22,23.05,0.061537,0.041317,0.034178,0.000010
29,23.77,23.08,0.037026,0.036620,0.034178,0.000010
30,24.00,23.11,0.038729,0.033949,0.033949,0.000010
31,23.83,23.13,0.033492,0.033535,0.033535,0.000010
32,23.46,23.14,0.031949,0.030139,0.030139,0.000010
33,22.58,23.12,0.037246,0.032532,0.030139,0.000010
34,22.77,23.11,0.034421,0.056118,0.030139,0.000010
35,22.78,23.10,0.043561,0.034452,0.030139,0.000010
36,22.66,23.09,0.040046,0.032569,0.030139,0.000010
37,22.63,23.08,0.029148,0.036620,0.030139,0.000010
38,22.83,23.07,0.035459,0.028997,0.028997,0.000010
39,22.61,23.06,0.042658,0.031887,0.028997,0.000010
40,22.61,23.05,0.032723,0.034507,0.028997,0.000010
41,22.76,23.04,0.032605,0.035318,0.028997,0.000010
42,22.75,23.04,0.047977,0.028577,0.028577,0.000010
43,22.62,23.03,0.044556,0.074624,0.028577,0.000010
44,22.61,23.02,0.027884,0.031711,0.028577,0.000010
45,22.80,23.01,0.034932,0.028321,0.028321,0.000010
46,22.79,23.01,0.038851,0.025241,0.025241,0.000010
47,22.64,23.00,0.031855,0.032128,0.025241,0.000010
48,22.82,22.99,0.026501,0.024903,0.024903,0.000010
49,23.31,23.00,0.027242,0.032060,0.024903,0.000010
50,23.01,23.00,0.029232,0.037058,0.024903,0.000010
51,22.92,23.00,0.042036,0.026020,0.024903,0.000010
52,23.07,23.00,0.027834,0.024101,0.024101,0.000010
53,22.73,23.00,0.025763,0.028370,0.024101,0.000010
54,23.17,23.00,0.025891,0.024303,0.024101,0.000010
55,23.89,23.02,0.029772,0.023697,0.023697,0.000010
56,22.83,23.01,0.025534,0.065860,0.023697,0.000010
57,22.85,23.01,0.024460,0.026592,0.023697,0.000010
58,22.80,23.01,0.025010,0.024013,0.023697,0.000010
59,22.82,23.00,0.024027,0.025104,0.023697,0.000010
60,23.23,23.01,0.031433,0.023972,0.023697,0.000010
61,23.13,23.01,0.033426,0.033418,0.023697,0.000010
62,23.13,23.01,0.024827,0.023422,0.023422,0.000010
63,23.03,23.01,0.025056,0.023157,0.023157,0.000010
64,23.17,23.01,0.023979,0.021184,0.021184,0.000010
65,22.89,23.01,0.025722,0.072703,0.021184,0.000010
66,23.16,23.01,0.034808,0.024227,0.021184,0.000010
67,23.72,23.02,0.024007,0.023747,0.021184,0.000010
68,23.20,23.03,0.029573,0.026413,0.021184,0.000010
69,22.86,23.02,0.024759,0.023792,0.021184,0.000010
70,23.23,23.03,0.033868,0.026031,0.021184,0.000010
71,22.88,23.03,0.028397,0.029877,0.021184,0.000010
72,23.35,23.03,0.025498,0.022203,0.021184,0.000010
73,23.30,23.03,0.021826,0.022548,0.021184,0.000010
74,23.75,23.04,0.029500,0.027357,0.021184,0.000010
75,23.32,23.05,0.023547,0.020951,0.020951,0.000010
76,23.46,23.05,0.031521,0.022678,0.020951,0.000010
77,23.10,23.05,0.023010,0.026807,0.020951,0.000010
78,22.82,23.05,0.022921,0.030613,0.020951,0.000010
79,22.75,23.05,0.021587,0.021076,0.020951,0.000010
80,22.98,23.05,0.022660,0.024864,0.020951,0.000010
