Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,27.84,27.84,1.077049,1.108656,1.108656,0.000010
2,27.88,27.86,1.064248,1.097365,1.097365,0.000010
3,27.59,27.77,0.977225,0.829936,0.829936,0.000010
4,27.68,27.75,0.753635,0.736168,0.736168,0.000010
5,27.81,27.76,0.660667,0.643692,0.643692,0.000010
6,27.84,27.77,0.574230,0.560955,0.560955,0.000010
7,29.18,27.97,0.534038,0.541999,0.541999,0.000010
8,28.20,28.00,0.534291,0.532569,0.532569,0.000010
9,28.10,28.01,0.508980,0.511764,0.511764,0.000010
10,28.86,28.10,0.485083,0.481154,0.481154,0.000010
11,28.79,28.16,0.468960,0.471594,0.471594,0.000010
12,28.30,28.17,0.459580,0.454495,0.454495,0.000010
13,28.60,28.21,0.442575,0.443750,0.443750,0.000010
14,29.09,28.27,0.440208,0.431122,0.431122,0.000010
15,27.95,28.25,0.425302,0.419749,0.419749,0.000010
16,28.01,28.23,0.411389,0.411991,0.411991,0.000010
17,30.84,28.39,0.388514,0.377062,0.377062,0.000010
18,31.32,28.55,0.352277,0.339259,0.339259,0.000010
19,30.42,28.65,0.332202,0.353941,0.339259,0.000010
20,30.29,28.73,0.320951,0.307538,0.307538,0.000010
21,28.30,28.71,0.293837,0.291253,0.291253,0.000010
22,27.99,28.68,0.277348,0.269699,0.269699,0.000010
23,28.10,28.65,0.262383,0.251616,0.251616,0.000010
24,28.22,28.63,0.249190,0.235428,0.235428,0.000010
25,28.19,28.62,0.229003,0.211984,0.211984,0.000010
26,28.22,28.60,0.220439,0.202638,0.202638,0.000010
27,28.16,28.58,0.204179,0.192827,0.192827,0.000010
28,28.14,28.57,0.179631,0.175598,0.175598,0.000010
29,28.09,28.55,0.172710,0.169813,0.169813,0.000010
30,28.13,28.54,0.173887,0.159168,0.159168,0.000010
31,27.86,28.52,0.152937,0.186979,0.159168,0.000010
32,27.84,28.50,0.152901,0.162354,0.159168,0.000010
33,28.15,28.48,0.135819,0.114828,0.114828,0.000010
34,28.07,28.47,0.112312,0.102426,0.102426,0.000010
35,28.08,28.46,0.093950,0.090912,0.090912,0.000010
36,28.13,28.45,0.091180,0.086882,0.086882,0.000010
37,28.06,28.44,0.079398,0.078988,0.078988,0.000010
38,28.16,28.43,0.091806,0.082510,0.078988,0.000010
39,28.05,28.42,0.086816,0.082026,0.078988,0.000010
40,28.24,28.42,0.074800,0.072577,0.072577,0.000010
41,27.97,28.41,0.079897,0.084128,0.072577,0.000010
42,28.28,28.41,0.080289,0.067971,0.067971,0.000010
43,27.92,28.39,0.077970,0.069602,0.067971,0.000010
44,28.33,28.39,0.069977,0.066972,0.066972,0.000010
45,27.98,28.38,0.074944,0.070878,0.066972,0.000010
46,27.96,28.37,0.065238,0.074804,0.066972,0.000010
47,28.22,28.37,0.064422,0.061233,0.061233,0.000010
48,27.96,28.36,0.059749,0.061324,0.061233,0.000010
49,27.95,28.35,0.070350,0.064248,0.061233,0.000010
50,28.00,28.35,0.064620,0.070171,0.061233,0.000010
51,28.22,28.34,0.060853,0.057207,0.057207,0.000010
52,28.12,28.34,0.057394,0.057202,0.057202,0.000010
53,27.96,28.33,0.059429,0.063507,0.057202,0.000010
54,27.99,28.33,0.057923,0.061364,0.057202,0.000010
55,27.99,28.32,0.057149,0.068541,0.057202,0.000010
56,28.00,28.31,0.061118,0.059108,0.057202,0.000010
57,27.99,28.31,0.108192,0.062108,0.057202,0.000005
58,28.24,28.31,0.057874,0.055509,0.055509,0.000005
59,28.26,28.31,0.053387,0.055425,0.055425,0.000005
60,28.16,28.30,0.054220,0.052962,0.052962,0.000005
61,27.89,28.30,0.057098,0.059609,0.052962,0.000005
62,27.91,28.29,0.051814,0.054755,0.052962,0.000005
63,30.79,28.33,0.051656,0.057368,0.052962,0.000005
64,30.52,28.37,0.055713,0.052290,0.052290,0.000005
65,29.93,28.39,0.057883,0.053904,0.052290,0.000005
66,28.02,28.38,0.055171,0.056106,0.052290,0.000005
67,27.85,28.38,0.050049,0.055179,0.052290,0.000005
68,28.21,28.37,0.054060,0.051274,0.051274,0.000005
69,28.29,28.37,0.057466,0.049500,0.049500,0.000005
70,28.07,28.37,0.053636,0.074582,0.049500,0.000005
71,28.32,28.37,0.070574,0.047069,0.047069,0.000005
72,28.29,28.37,0.046710,0.047365,0.047069,0.000005
73,28.23,28.36,0.047628,0.053397,0.047069,0.000005
74,28.03,28.36,0.051664,0.148425,0.047069,0.000005
75,28.03,28.36,0.048484,0.054669,0.047069,0.000005
76,28.03,28.35,0.073994,0.050560,0.047069,0.000005
77,28.02,28.35,0.047444,0.062376,0.047069,0.000003
78,28.35,28.35,0.047069,0.050508,0.047069,0.000003
79,28.49,28.35,0.050399,0.057726,0.047069,0.000003
80,27.95,28.34,0.048219,0.056674,0.047069,0.000003
