Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,23.82,23.82,1.061843,1.028776,1.028776,0.000010
2,23.63,23.72,0.841394,0.533836,0.533836,0.000010
3,23.88,23.77,0.473028,0.434226,0.434226,0.000010
4,24.53,23.96,0.446835,0.392866,0.392866,0.000010
5,25.52,24.27,0.385065,0.332329,0.332329,0.000010
6,25.51,24.48,0.274427,0.214647,0.214647,0.000010
7,25.30,24.60,0.231372,0.214629,0.214629,0.000010
8,25.22,24.68,0.186234,0.173127,0.173127,0.000010
9,25.93,24.82,0.175740,0.157060,0.157060,0.000010
10,25.48,24.88,0.160760,0.156245,0.156245,0.000010
11,25.16,24.91,0.141247,0.179814,0.156245,0.000010
12,25.22,24.93,0.136504,0.107246,0.107246,0.000010
13,24.89,24.93,0.126569,0.101734,0.101734,0.000010
14,25.32,24.96,0.093568,0.084040,0.084040,0.000010
15,25.88,25.02,0.085681,0.074433,0.074433,0.000010
16,24.58,24.99,0.080285,0.079222,0.074433,0.000010
17,24.59,24.97,0.065894,0.061562,0.061562,0.000010
18,24.67,24.95,0.066984,0.058326,0.058326,0.000010
19,24.63,24.93,0.054434,0.137993,0.058326,0.000010
20,24.44,24.91,0.052895,0.110608,0.058326,0.000010
21,24.63,24.90,0.084119,0.048127,0.048127,0.000010
22,24.60,24.88,0.053673,0.044477,0.044477,0.000010
23,24.43,24.86,0.043007,0.049107,0.044477,0.000010
24,24.59,24.85,0.055363,0.044103,0.044103,0.000010
25,24.57,24.84,0.042182,0.039168,0.039168,0.000010
26,24.57,24.83,0.046633,0.040009,0.039168,0.000010
27,24.72,24.83,0.038153,0.038237,0.038237,0.000010
28,24.39,24.81,0.039104,0.048335,0.038237,0.000010
29,24.54,24.80,0.033970,0.036365,0.036365,0.000010
30,25.36,24.82,0.044341,0.037100,0.036365,0.000010
31,25.02,24.83,0.040469,0.034148,0.034148,0.000010
32,25.64,24.85,0.030844,0.033317,0.033317,0.000010
33,24.45,24.84,0.054259,0.061776,0.033317,0.000010
34,24.71,24.84,0.029626,0.031369,0.031369,0.000010
35,24.45,24.82,0.031804,0.031632,0.031369,0.000010
36,24.80,24.82,0.029591,0.031571,0.031369,0.000010
37,24.86,24.82,0.028118,0.029772,0.029772,0.000010
38,24.85,24.83,0.029443,0.030686,0.029772,0.000010
39,24.85,24.83,0.043105,0.030928,0.029772,0.000010
40,25.03,24.83,0.027427,0.027812,0.027812,0.000010
41,24.83,24.83,0.024336,0.028227,0.027812,0.000010
42,24.78,24.83,0.025951,0.024769,0.024769,0.000010
43,24.62,24.82,0.025805,0.026527,0.024769,0.000010
44,25.04,24.83,0.025747,0.023366,0.023366,0.000010
45,24.99,24.83,0.027332,0.024072,0.023366,0.000010
46,25.05,24.84,0.023138,0.028935,0.023366,0.000010
47,24.93,24.84,0.021296,0.023200,0.023200,0.000010
48,24.80,24.84,0.021244,0.022847,0.022847,0.000010
49,24.99,24.84,0.025858,0.021698,0.021698,0.000010
50,24.84,24.84,0.023714,0.023051,0.021698,0.000010
51,25.05,24.85,0.036360,0.022347,0.021698,0.000010
52,25.12,24.85,0.022848,0.021511,0.021511,0.000010
53,24.88,24.85,0.020232,0.021087,0.021087,0.000010
54,25.06,24.86,0.019658,0.020446,0.020446,0.000010
55,25.06,24.86,0.019957,0.019853,0.019853,0.000010
56,24.33,24.85,0.017778,0.020045,0.019853,0.000010
57,24.84,24.85,0.019077,0.019536,0.019536,0.000010
58,24.91,24.85,0.018216,0.020006,0.019536,0.000010
59,25.20,24.86,0.017928,0.021537,0.019536,0.000010
60,24.58,24.85,0.017729,0.019552,0.019536,0.000010
61,24.92,24.85,0.016865,0.019877,0.019536,0.000010
62,25.09,24.86,0.016842,0.018590,0.018590,0.000010
63,25.37,24.86,0.016427,0.023085,0.018590,0.000010
64,25.15,24.87,0.017997,0.023058,0.018590,0.000010
65,24.73,24.87,0.016178,0.021192,0.018590,0.000010
66,24.96,24.87,0.033095,0.018216,0.018216,0.000010
67,25.27,24.87,0.016110,0.017930,0.017930,0.000010
68,25.31,24.88,0.016044,0.018609,0.017930,0.000010
69,25.15,24.88,0.016652,0.017798,0.017798,0.000010
70,24.94,24.89,0.014986,0.017959,0.017798,0.000010
71,27.59,24.92,0.015076,0.017317,0.017317,0.000010
72,28.11,24.97,0.014939,0.017643,0.017317,0.000010
73,27.13,25.00,0.014605,0.018200,0.017317,0.000010
74,24.34,24.99,0.014834,0.036572,0.017317,0.000010
75,24.58,24.98,0.014734,0.016629,0.016629,0.000010
76,24.95,24.98,0.014495,0.019941,0.016629,0.000010
77,24.49,24.98,0.014138,0.017236,0.016629,0.000010
78,24.84,24.97,0.014089,0.016935,0.016629,0.000010
79,25.11,24.98,0.014122,0.019319,0.016629,0.000010
80,25.05,24.98,0.013861,0.016762,0.016629,0.000010
