Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,39.37,39.37,0.920959,0.709009,0.709009,0.000010
2,39.66,39.52,0.526272,0.418058,0.418058,0.000010
3,40.05,39.69,0.346245,0.283875,0.283875,0.000010
4,40.07,39.79,0.253410,0.232111,0.232111,0.000010
5,40.35,39.90,0.214934,0.202518,0.202518,0.000010
6,40.51,40.00,0.162398,0.145095,0.145095,0.000010
7,40.35,40.05,0.150879,0.144560,0.144560,0.000010
8,40.27,40.08,0.131787,0.108999,0.108999,0.000010
9,40.03,40.07,0.149878,0.115216,0.108999,0.000010
10,40.13,40.08,0.103428,0.090213,0.090213,0.000010
11,39.96,40.07,0.096894,0.105456,0.090213,0.000010
12,40.10,40.07,0.101900,0.079462,0.079462,0.000010
13,39.95,40.06,0.076008,0.103885,0.079462,0.000010
14,39.89,40.05,0.074159,0.081874,0.079462,0.000010
15,40.03,40.05,0.093674,0.068996,0.068996,0.000010
16,39.91,40.04,0.104261,0.073509,0.068996,0.000010
17,40.00,40.04,0.070134,0.048570,0.048570,0.000010
18,39.85,40.03,0.051402,0.104698,0.048570,0.000010
19,39.90,40.02,0.051170,0.050235,0.048570,0.000010
20,39.84,40.01,0.048270,0.060312,0.048570,0.000010
21,39.86,40.00,0.055846,0.089426,0.048570,0.000010
22,39.97,40.00,0.039462,0.046336,0.046336,0.000010
23,39.86,40.00,0.046793,0.047977,0.046336,0.000010
24,39.85,39.99,0.049943,0.048076,0.046336,0.000010
25,40.00,39.99,0.044101,0.044528,0.044528,0.000010
26,39.84,39.98,0.065683,0.103586,0.044528,0.000010
27,39.82,39.98,0.043340,0.074562,0.044528,0.000010
28,39.97,39.98,0.049985,0.039560,0.039560,0.000010
29,39.81,39.97,0.040679,0.051841,0.039560,0.000010
30,39.98,39.97,0.043172,0.032237,0.032237,0.000010
31,39.85,39.97,0.041542,0.037826,0.032237,0.000010
32,39.80,39.96,0.034197,0.048369,0.032237,0.000010
33,39.81,39.96,0.039228,0.041154,0.032237,0.000010
34,39.85,39.96,0.035524,0.047190,0.032237,0.000010
35,39.84,39.95,0.097967,0.035040,0.032237,0.000010
36,39.84,39.95,0.045515,0.071821,0.032237,0.000005
37,39.97,39.95,0.038568,0.031576,0.031576,0.000005
38,39.83,39.95,0.033880,0.035570,0.031576,0.000005
39,39.84,39.94,0.034737,0.102527,0.031576,0.000005
40,39.83,39.94,0.033038,0.031628,0.031576,0.000005
41,40.05,39.94,0.032378,0.030486,0.030486,0.000005
42,39.80,39.94,0.042819,0.031168,0.030486,0.000005
43,39.85,39.94,0.037722,0.074358,0.030486,0.000005
44,39.85,39.94,0.030928,0.032254,0.030486,0.000005
45,39.89,39.94,0.063784,0.033769,0.030486,0.000005
46,39.87,39.93,0.036428,0.031436,0.030486,0.000005
47,39.87,39.93,0.028888,0.049091,0.030486,0.000003
48,40.02,39.93,0.027262,0.028903,0.028903,0.000003
49,39.85,39.93,0.041581,0.030884,0.028903,0.000003
50,39.89,39.93,0.031248,0.118194,0.028903,0.000003
51,39.89,39.93,0.030811,0.031031,0.028903,0.000003
52,39.88,39.93,0.030980,0.029665,0.028903,0.000003
53,39.89,39.93,0.034109,0.030571,0.028903,0.000003
54,40.04,39.93,0.033371,0.028712,0.028712,0.000003
55,40.02,39.93,0.029820,0.028649,0.028649,0.000003
56,40.03,39.93,0.040339,0.027113,0.027113,0.000003
57,39.89,39.93,0.042638,0.028097,0.027113,0.000003
58,39.91,39.93,0.032906,0.029044,0.027113,0.000003
59,39.95,39.93,0.036169,0.030896,0.027113,0.000003
60,39.93,39.93,0.026151,0.030784,0.027113,0.000003
61,39.93,39.93,0.029124,0.116961,0.027113,0.000003
62,39.97,39.93,0.026530,0.037806,0.027113,0.000001
63,40.22,39.94,0.026193,0.028367,0.027113,0.000001
64,39.96,39.94,0.037362,0.171584,0.027113,0.000001
65,39.97,39.94,0.026623,0.082165,0.027113,0.000001
66,39.94,39.94,0.046691,0.029762,0.027113,0.000001
67,39.96,39.94,0.045313,0.044100,0.027113,0.000001
68,39.99,39.94,0.024595,0.029829,0.027113,0.000001
69,39.96,39.94,0.043724,0.060449,0.027113,0.000001
70,39.97,39.94,0.030519,0.035318,0.027113,0.000001
71,39.97,39.94,0.024417,0.029943,0.027113,0.000001
72,39.97,39.94,0.027446,0.028947,0.027113,0.000001
73,40.12,39.94,0.030767,0.027114,0.027113,0.000001
74,39.97,39.95,0.038345,0.029206,0.027113,0.000000
75,40.31,39.95,0.027035,0.033695,0.027113,0.000000
76,40.10,39.95,0.030352,0.032707,0.027113,0.000000
77,40.14,39.95,0.026649,0.039359,0.027113,0.000000
78,39.97,39.95,0.026770,0.027611,0.027113,0.000000
79,40.27,39.96,0.025970,0.032351,0.027113,0.000000
80,41.02,39.97,0.025209,0.028986,0.027113,0.000000
