Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,14.35,14.35,1.123313,1.161864,1.161864,0.000010
2,13.68,14.02,1.109808,1.129328,1.129328,0.000010
3,14.08,14.04,0.944408,0.702831,0.702831,0.000010
4,14.14,14.06,0.585816,0.569280,0.569280,0.000010
5,14.33,14.12,0.537463,0.508226,0.508226,0.000010
6,14.16,14.12,0.467128,0.499358,0.499358,0.000010
7,14.34,14.15,0.454744,0.433601,0.433601,0.000010
8,14.37,14.18,0.435023,0.418300,0.418300,0.000010
9,14.59,14.23,0.403782,0.392411,0.392411,0.000010
10,14.66,14.27,0.391853,0.371767,0.371767,0.000010
11,14.81,14.32,0.367381,0.353276,0.353276,0.000010
12,14.73,14.35,0.323071,0.287774,0.287774,0.000010
13,14.93,14.40,0.257909,0.237531,0.237531,0.000010
14,15.04,14.44,0.215947,0.205759,0.205759,0.000010
15,15.08,14.49,0.202716,0.179486,0.179486,0.000010
16,14.92,14.51,0.207059,0.168207,0.168207,0.000010
17,14.94,14.54,0.152562,0.139732,0.139732,0.000010
18,14.72,14.55,0.138264,0.124639,0.124639,0.000010
19,14.75,14.56,0.128544,0.151491,0.124639,0.000010
20,14.82,14.57,0.118279,0.101510,0.101510,0.000010
21,14.74,14.58,0.110419,0.098063,0.098063,0.000010
22,14.80,14.59,0.104358,0.087180,0.087180,0.000010
23,14.78,14.60,0.089540,0.086368,0.086368,0.000010
24,15.20,14.62,0.090890,0.084021,0.084021,0.000010
25,14.71,14.63,0.086026,0.077768,0.077768,0.000010
26,14.75,14.63,0.077716,0.079787,0.077768,0.000010
27,14.75,14.64,0.080235,0.071882,0.071882,0.000010
28,14.63,14.63,0.074101,0.082264,0.071882,0.000010
29,14.57,14.63,0.074240,0.071436,0.071436,0.000010
30,14.47,14.63,0.074200,0.090805,0.071436,0.000010
31,14.56,14.63,0.078489,0.063089,0.063089,0.000010
32,14.51,14.62,0.078338,0.067897,0.063089,0.000010
33,14.54,14.62,0.079024,0.059379,0.059379,0.000010
34,14.53,14.62,0.060410,0.075543,0.059379,0.000010
35,14.49,14.61,0.061867,0.065267,0.059379,0.000010
36,14.52,14.61,0.070014,0.057095,0.057095,0.000010
37,14.53,14.61,0.059310,0.052781,0.052781,0.000010
38,14.51,14.61,0.055440,0.051784,0.051784,0.000010
39,14.49,14.60,0.055123,0.055135,0.051784,0.000010
40,14.51,14.60,0.051963,0.048371,0.048371,0.000010
41,14.59,14.60,0.048005,0.048339,0.048339,0.000010
42,14.39,14.60,0.046403,0.075188,0.048339,0.000010
43,14.48,14.59,0.046367,0.044347,0.044347,0.000010
44,14.51,14.59,0.052276,0.046992,0.044347,0.000010
45,14.45,14.59,0.043126,0.044428,0.044347,0.000010
46,14.48,14.59,0.046316,0.049303,0.044347,0.000010
47,14.54,14.58,0.041583,0.044078,0.044078,0.000010
48,14.48,14.58,0.042863,0.052834,0.044078,0.000010
49,14.47,14.58,0.041275,0.049910,0.044078,0.000010
50,14.48,14.58,0.050606,0.057844,0.044078,0.000010
51,14.52,14.58,0.048366,0.039812,0.039812,0.000010
52,14.54,14.58,0.039621,0.037229,0.037229,0.000010
53,14.52,14.57,0.037686,0.036398,0.036398,0.000010
54,14.46,14.57,0.046041,0.038206,0.036398,0.000010
55,14.48,14.57,0.048768,0.076095,0.036398,0.000010
56,14.53,14.57,0.038097,0.035571,0.035571,0.000010
57,14.50,14.57,0.040630,0.035990,0.035571,0.000010
58,14.47,14.57,0.037282,0.044497,0.035571,0.000010
59,14.49,14.57,0.032867,0.042808,0.035571,0.000010
60,14.53,14.57,0.042279,0.033110,0.033110,0.000010
61,14.50,14.56,0.042076,0.045545,0.033110,0.000010
62,14.50,14.56,0.031736,0.034351,0.033110,0.000010
63,14.50,14.56,0.030591,0.033692,0.033110,0.000010
64,14.48,14.56,0.037228,0.038006,0.033110,0.000010
65,14.56,14.56,0.032245,0.030924,0.030924,0.000010
66,14.48,14.56,0.037037,0.035149,0.030924,0.000010
67,14.48,14.56,0.030415,0.031073,0.030924,0.000010
68,14.54,14.56,0.033604,0.030395,0.030395,0.000010
69,14.53,14.56,0.029194,0.028878,0.028878,0.000010
70,14.50,14.56,0.031568,0.027864,0.027864,0.000010
71,14.47,14.56,0.028257,0.028183,0.027864,0.000010
72,14.46,14.55,0.029526,0.031262,0.027864,0.000010
73,14.53,14.55,0.032332,0.026511,0.026511,0.000010
74,14.52,14.55,0.027825,0.026215,0.026215,0.000010
75,14.46,14.55,0.028855,0.028175,0.026215,0.000010
76,14.50,14.55,0.040408,0.027410,0.026215,0.000010
77,14.47,14.55,0.028649,0.026706,0.026215,0.000010
78,14.53,14.55,0.036886,0.025693,0.025693,0.000010
79,14.49,14.55,0.024745,0.040654,0.025693,0.000010
80,14.54,14.55,0.023708,0.024674,0.024674,0.000010
