Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,7.13,7.13,1.106646,1.080681,1.080681,0.000010
2,5.14,6.13,0.865629,0.653444,0.653444,0.000010
3,5.17,5.81,0.440103,0.319462,0.319462,0.000010
4,5.20,5.66,0.248091,0.177733,0.177733,0.000010
5,5.21,5.57,0.152561,0.115055,0.115055,0.000010
6,5.26,5.52,0.096890,0.070021,0.070021,0.000010
7,5.27,5.48,0.061499,0.047860,0.047860,0.000010
8,5.28,5.46,0.044854,0.036445,0.036445,0.000010
9,5.31,5.44,0.034911,0.029902,0.029902,0.000010
10,5.37,5.44,0.028267,0.024734,0.024734,0.000010
11,5.34,5.43,0.023933,0.021894,0.021894,0.000010
12,5.37,5.42,0.021394,0.020138,0.020138,0.000010
13,5.38,5.42,0.019669,0.018919,0.018919,0.000010
14,5.39,5.42,0.018404,0.018078,0.018078,0.000010
15,5.38,5.41,0.017456,0.017367,0.017367,0.000010
16,5.40,5.41,0.016698,0.016844,0.016844,0.000010
17,5.42,5.41,0.016073,0.016371,0.016371,0.000010
18,5.45,5.42,0.015563,0.015936,0.015936,0.000010
19,5.47,5.42,0.015123,0.015783,0.015783,0.000010
20,5.54,5.42,0.014730,0.015385,0.015385,0.000010
21,5.54,5.43,0.014327,0.015131,0.015131,0.000010
22,5.55,5.44,0.014126,0.014905,0.014905,0.000010
23,5.56,5.44,0.013814,0.014844,0.014844,0.000010
24,5.58,5.45,0.013599,0.014535,0.014535,0.000010
25,5.60,5.45,0.013387,0.014426,0.014426,0.000010
26,5.61,5.46,0.013123,0.014220,0.014220,0.000010
27,5.60,5.46,0.012940,0.014180,0.014180,0.000010
28,5.60,5.47,0.012775,0.013952,0.013952,0.000010
29,5.61,5.47,0.012579,0.013876,0.013876,0.000010
30,5.64,5.48,0.012479,0.013736,0.013736,0.000010
31,5.63,5.48,0.012278,0.013587,0.013587,0.000010
32,5.61,5.49,0.012166,0.013558,0.013558,0.000010
33,5.60,5.49,0.012046,0.013437,0.013437,0.000010
34,5.53,5.49,0.011918,0.013442,0.013437,0.000010
35,5.64,5.50,0.011839,0.013387,0.013387,0.000010
36,5.62,5.50,0.011720,0.013108,0.013108,0.000010
37,5.53,5.50,0.011610,0.013112,0.013108,0.000010
38,5.63,5.50,0.011526,0.013035,0.013035,0.000010
39,5.61,5.51,0.011430,0.012918,0.012918,0.000010
40,5.64,5.51,0.011317,0.012861,0.012861,0.000010
41,5.70,5.52,0.011261,0.012797,0.012797,0.000010
42,5.53,5.52,0.011189,0.012784,0.012784,0.000010
43,5.58,5.52,0.011124,0.012721,0.012721,0.000010
44,5.58,5.52,0.011019,0.012652,0.012652,0.000010
45,5.63,5.52,0.010986,0.012569,0.012569,0.000010
46,5.62,5.52,0.010906,0.012566,0.012566,0.000010
47,5.62,5.53,0.010841,0.012467,0.012467,0.000010
48,5.61,5.53,0.010817,0.012457,0.012457,0.000010
49,5.52,5.53,0.010710,0.012469,0.012457,0.000010
50,5.62,5.53,0.010661,0.012363,0.012363,0.000010
51,5.63,5.53,0.010598,0.012324,0.012324,0.000010
52,5.59,5.53,0.010567,0.012268,0.012268,0.000010
53,5.61,5.53,0.010531,0.012254,0.012254,0.000010
54,5.64,5.54,0.010451,0.012249,0.012249,0.000010
55,5.61,5.54,0.010401,0.012122,0.012122,0.000010
56,5.52,5.54,0.010370,0.012170,0.012122,0.000010
57,5.65,5.54,0.010320,0.012012,0.012012,0.000010
58,5.54,5.54,0.010275,0.012224,0.012012,0.000010
59,5.63,5.54,0.010297,0.012003,0.012003,0.000010
60,5.63,5.54,0.010179,0.011974,0.011974,0.000010
61,5.60,5.54,0.010197,0.011926,0.011926,0.000010
62,5.63,5.54,0.010133,0.011869,0.011869,0.000010
63,5.61,5.54,0.010071,0.011792,0.011792,0.000010
64,5.49,5.54,0.010033,0.011802,0.011792,0.000010
65,5.62,5.55,0.009959,0.011764,0.011764,0.000010
66,5.63,5.55,0.009926,0.011702,0.011702,0.000010
67,5.50,5.55,0.009873,0.011730,0.011702,0.000010
68,5.54,5.55,0.009838,0.011713,0.011702,0.000010
69,5.61,5.55,0.009823,0.011621,0.011621,0.000010
70,5.61,5.55,0.009757,0.011509,0.011509,0.000010
71,5.65,5.55,0.009689,0.011494,0.011494,0.000010
72,5.52,5.55,0.009700,0.011545,0.011494,0.000010
73,5.61,5.55,0.009655,0.011366,0.011366,0.000010
74,5.62,5.55,0.009553,0.011340,0.011340,0.000010
75,5.60,5.55,0.009504,0.011255,0.011255,0.000010
76,5.60,5.55,0.009468,0.011177,0.011177,0.000010
77,5.62,5.55,0.009353,0.011045,0.011045,0.000010
78,5.61,5.55,0.009291,0.011024,0.011024,0.000010
79,5.61,5.55,0.009239,0.010847,0.010847,0.000010
80,5.61,5.55,0.009105,0.010680,0.010680,0.000010
