Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,14.58,14.58,1.122913,1.160005,1.160005,0.000010
2,13.70,14.14,1.103532,1.105270,1.105270,0.000010
3,13.89,14.05,0.852217,0.632800,0.632800,0.000010
4,14.02,14.04,0.569551,0.520505,0.520505,0.000010
5,14.30,14.10,0.493792,0.479693,0.479693,0.000010
6,14.20,14.11,0.480562,0.467487,0.467487,0.000010
7,14.28,14.14,0.469057,0.456676,0.456676,0.000010
8,14.59,14.19,0.449909,0.436211,0.436211,0.000010
9,14.72,14.25,0.426164,0.412631,0.412631,0.000010
10,14.44,14.27,0.405292,0.389485,0.389485,0.000010
11,14.88,14.33,0.384493,0.371028,0.371028,0.000010
12,15.08,14.39,0.368217,0.351122,0.351122,0.000010
13,14.80,14.42,0.350511,0.339353,0.339353,0.000010
14,14.60,14.43,0.334562,0.320116,0.320116,0.000010
15,14.94,14.47,0.315531,0.303271,0.303271,0.000010
16,15.32,14.52,0.297757,0.287348,0.287348,0.000010
17,14.99,14.55,0.280056,0.267702,0.267702,0.000010
18,14.77,14.56,0.262981,0.250463,0.250463,0.000010
19,14.71,14.57,0.249808,0.237753,0.237753,0.000010
20,14.55,14.57,0.235804,0.222048,0.222048,0.000010
21,14.92,14.58,0.228775,0.216217,0.216217,0.000010
22,14.70,14.59,0.210867,0.197029,0.197029,0.000010
23,14.77,14.60,0.204035,0.201950,0.197029,0.000010
24,14.74,14.60,0.200438,0.190861,0.190861,0.000010
25,14.39,14.59,0.198306,0.191382,0.190861,0.000010
26,14.46,14.59,0.189825,0.191702,0.190861,0.000010
27,14.60,14.59,0.188652,0.175292,0.175292,0.000010
28,14.58,14.59,0.178288,0.168394,0.168394,0.000010
29,14.52,14.59,0.177860,0.170913,0.168394,0.000010
30,14.52,14.58,0.172479,0.166588,0.166588,0.000010
31,14.43,14.58,0.172054,0.160977,0.160977,0.000010
32,14.43,14.58,0.166790,0.156707,0.156707,0.000010
33,14.45,14.57,0.159656,0.153792,0.153792,0.000010
34,14.42,14.57,0.156284,0.147214,0.147214,0.000010
35,14.41,14.56,0.153639,0.146971,0.146971,0.000010
36,14.41,14.56,0.152061,0.146353,0.146353,0.000010
37,14.40,14.55,0.151607,0.139928,0.139928,0.000010
38,14.43,14.55,0.147626,0.140433,0.139928,0.000010
39,14.52,14.55,0.140531,0.134404,0.134404,0.000010
40,14.40,14.55,0.143981,0.137198,0.134404,0.000010
41,14.46,14.54,0.139918,0.147772,0.134404,0.000010
42,14.35,14.54,0.137794,0.129599,0.129599,0.000010
43,14.38,14.54,0.134157,0.130606,0.129599,0.000010
44,14.35,14.53,0.129778,0.131070,0.129599,0.000010
45,14.42,14.53,0.128976,0.123378,0.123378,0.000010
46,14.41,14.53,0.128081,0.120842,0.120842,0.000010
47,14.40,14.52,0.130517,0.121580,0.120842,0.000010
48,14.48,14.52,0.124088,0.122712,0.120842,0.000010
49,14.53,14.52,0.123350,0.117641,0.117641,0.000010
50,14.40,14.52,0.119010,0.118773,0.117641,0.000010
51,14.43,14.52,0.120347,0.115491,0.115491,0.000010
52,14.37,14.52,0.118356,0.124377,0.115491,0.000010
53,14.45,14.51,0.116685,0.115281,0.115281,0.000010
54,14.42,14.51,0.112967,0.109299,0.109299,0.000010
55,14.42,14.51,0.111430,0.106428,0.106428,0.000010
56,14.37,14.51,0.111874,0.108967,0.106428,0.000010
57,14.39,14.51,0.110378,0.107598,0.106428,0.000010
58,14.35,14.50,0.106540,0.106791,0.106428,0.000010
59,14.42,14.50,0.107181,0.104394,0.104394,0.000010
60,14.46,14.50,0.101116,0.100912,0.100912,0.000010
61,14.40,14.50,0.102363,0.100406,0.100406,0.000010
62,14.34,14.50,0.097581,0.098057,0.098057,0.000010
63,14.30,14.49,0.098833,0.100084,0.098057,0.000010
64,14.28,14.49,0.097131,0.100554,0.098057,0.000010
65,14.33,14.49,0.095632,0.093766,0.093766,0.000010
66,14.30,14.49,0.095383,0.100117,0.093766,0.000010
67,14.35,14.48,0.093166,0.092974,0.092974,0.000010
68,14.42,14.48,0.094473,0.089845,0.089845,0.000010
69,14.32,14.48,0.091997,0.089666,0.089666,0.000010
70,14.27,14.48,0.090957,0.089746,0.089666,0.000010
71,14.36,14.48,0.091697,0.089222,0.089222,0.000010
72,14.33,14.47,0.088659,0.086665,0.086665,0.000010
73,14.33,14.47,0.086846,0.083997,0.083997,0.000010
74,14.29,14.47,0.087750,0.087558,0.083997,0.000010
75,14.54,14.47,0.086273,0.084815,0.083997,0.000010
76,14.60,14.47,0.084644,0.082056,0.082056,0.000010
77,14.55,14.47,0.082593,0.085704,0.082056,0.000010
78,14.52,14.47,0.084599,0.083904,0.082056,0.000010
79,14.51,14.47,0.082094,0.087680,0.082056,0.000010
80,14.66,14.48,0.083969,0.087566,0.082056,0.000010
