Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,14.11,14.11,0.994627,0.782176,0.782176,0.000010
2,12.28,13.19,0.567512,0.431437,0.431437,0.000010
3,12.23,12.87,0.361090,0.306285,0.306285,0.000010
4,12.32,12.73,0.283765,0.267116,0.267116,0.000010
5,12.42,12.67,0.252019,0.245224,0.245224,0.000010
6,12.46,12.64,0.234281,0.232217,0.232217,0.000010
7,12.41,12.60,0.225136,0.225403,0.225403,0.000010
8,12.46,12.59,0.219347,0.219405,0.219405,0.000010
9,12.65,12.59,0.214180,0.215299,0.215299,0.000010
10,12.71,12.60,0.211030,0.211610,0.211610,0.000010
11,12.71,12.61,0.208033,0.210354,0.210354,0.000010
12,12.77,12.63,0.205646,0.207491,0.207491,0.000010
13,12.75,12.64,0.203748,0.206269,0.206269,0.000010
14,12.71,12.64,0.201521,0.201529,0.201529,0.000010
15,12.76,12.65,0.199617,0.199952,0.199952,0.000010
16,12.76,12.66,0.198507,0.198377,0.198377,0.000010
17,12.76,12.66,0.196700,0.197262,0.197262,0.000010
18,12.79,12.67,0.194983,0.197241,0.197241,0.000010
19,12.68,12.67,0.194085,0.194274,0.194274,0.000010
20,12.75,12.67,0.192406,0.192628,0.192628,0.000010
21,12.79,12.68,0.190540,0.191237,0.191237,0.000010
22,12.83,12.69,0.188997,0.189873,0.189873,0.000010
23,12.75,12.69,0.186788,0.188113,0.188113,0.000010
24,12.75,12.69,0.185729,0.185284,0.185284,0.000010
25,12.78,12.70,0.185414,0.185077,0.185077,0.000010
26,12.77,12.70,0.182545,0.183527,0.183527,0.000010
27,12.77,12.70,0.182008,0.183339,0.183339,0.000010
28,12.69,12.70,0.181323,0.179821,0.179821,0.000010
29,12.71,12.70,0.179769,0.178851,0.178851,0.000010
30,12.78,12.70,0.178677,0.177609,0.177609,0.000010
31,12.77,12.71,0.178272,0.176748,0.176748,0.000010
32,12.82,12.71,0.177277,0.176373,0.176373,0.000010
33,12.75,12.71,0.175022,0.173828,0.173828,0.000010
34,12.78,12.71,0.174433,0.173617,0.173617,0.000010
35,12.78,12.71,0.172014,0.172549,0.172549,0.000010
36,12.74,12.72,0.172414,0.172321,0.172321,0.000010
37,12.75,12.72,0.173120,0.170746,0.170746,0.000010
38,12.16,12.70,0.171038,0.171100,0.170746,0.000010
39,12.79,12.70,0.170292,0.170405,0.170405,0.000010
40,12.74,12.70,0.169628,0.168915,0.168915,0.000010
41,12.20,12.69,0.168163,0.170418,0.168915,0.000010
42,12.90,12.70,0.168661,0.167390,0.167390,0.000010
43,12.71,12.70,0.167207,0.166492,0.166492,0.000010
44,12.14,12.68,0.166398,0.166557,0.166492,0.000010
45,12.65,12.68,0.166833,0.165595,0.165595,0.000010
46,12.20,12.67,0.166207,0.165741,0.165595,0.000010
47,12.75,12.68,0.166347,0.164926,0.164926,0.000010
48,12.74,12.68,0.165917,0.162491,0.162491,0.000010
49,12.16,12.67,0.164851,0.163914,0.162491,0.000010
50,12.18,12.66,0.166258,0.164914,0.162491,0.000010
51,12.13,12.65,0.165091,0.162559,0.162491,0.000010
52,12.17,12.64,0.163653,0.165612,0.162491,0.000010
53,12.15,12.63,0.163871,0.163549,0.162491,0.000010
54,12.17,12.62,0.164546,0.164784,0.162491,0.000005
55,12.19,12.61,0.162424,0.163197,0.162491,0.000005
56,12.18,12.60,0.163060,0.163505,0.162491,0.000005
57,12.76,12.61,0.163439,0.160767,0.160767,0.000005
58,12.22,12.60,0.161607,0.164859,0.160767,0.000005
59,12.19,12.59,0.161997,0.161203,0.160767,0.000005
60,12.17,12.59,0.163416,0.161542,0.160767,0.000005
61,12.15,12.58,0.162836,0.161564,0.160767,0.000005
62,12.14,12.57,0.161693,0.162595,0.160767,0.000005
63,12.81,12.58,0.162278,0.160672,0.160672,0.000005
64,12.13,12.57,0.162252,0.162017,0.160672,0.000005
65,12.75,12.57,0.161778,0.160433,0.160433,0.000005
66,12.14,12.56,0.161403,0.162644,0.160433,0.000005
67,12.16,12.56,0.161295,0.160477,0.160433,0.000005
68,12.17,12.55,0.161172,0.162182,0.160433,0.000005
69,12.15,12.55,0.161659,0.161713,0.160433,0.000005
70,12.75,12.55,0.161081,0.159214,0.159214,0.000005
71,12.20,12.54,0.160498,0.161209,0.159214,0.000005
72,12.15,12.54,0.160369,0.160677,0.159214,0.000005
73,12.17,12.53,0.160837,0.160973,0.159214,0.000005
74,12.20,12.53,0.160579,0.159591,0.159214,0.000005
75,12.16,12.52,0.159234,0.160734,0.159214,0.000005
76,12.17,12.52,0.160232,0.159935,0.159214,0.000003
77,12.73,12.52,0.161082,0.157704,0.157704,0.000003
78,12.14,12.52,0.159971,0.161831,0.157704,0.000003
79,12.17,12.51,0.159574,0.160090,0.157704,0.000003
80,12.17,12.51,0.160139,0.158409,0.157704,0.000003
