Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,12.02,12.02,1.108318,1.094808,1.094808,0.000010
2,11.63,11.82,0.855978,0.610395,0.610395,0.000010
3,11.75,11.80,0.473356,0.385186,0.385186,0.000010
4,11.84,11.81,0.374404,0.362911,0.362911,0.000010
5,11.93,11.83,0.354267,0.338166,0.338166,0.000010
6,11.96,11.85,0.318305,0.284656,0.284656,0.000010
7,12.02,11.88,0.237616,0.188180,0.188180,0.000010
8,12.12,11.91,0.162319,0.141011,0.141011,0.000010
9,12.29,11.95,0.135732,0.125485,0.125485,0.000010
10,12.31,11.99,0.123888,0.114647,0.114647,0.000010
11,12.35,12.02,0.114563,0.106206,0.106206,0.000010
12,12.41,12.05,0.105450,0.097380,0.097380,0.000010
13,12.41,12.08,0.095713,0.088782,0.088782,0.000010
14,12.50,12.11,0.086722,0.081112,0.081112,0.000010
15,12.60,12.14,0.078808,0.075347,0.075347,0.000010
16,12.42,12.16,0.072988,0.070796,0.070796,0.000010
17,12.50,12.18,0.068165,0.067064,0.067064,0.000010
18,12.57,12.20,0.064705,0.063744,0.063744,0.000010
19,12.54,12.22,0.061585,0.060855,0.060855,0.000010
20,12.45,12.23,0.059120,0.059334,0.059334,0.000010
21,12.45,12.24,0.057030,0.057826,0.057826,0.000010
22,12.50,12.25,0.054787,0.055619,0.055619,0.000010
23,12.58,12.27,0.053685,0.053576,0.053576,0.000010
24,12.47,12.28,0.051836,0.052817,0.052817,0.000010
25,12.43,12.28,0.050371,0.050952,0.050952,0.000010
26,12.44,12.29,0.049418,0.050371,0.050371,0.000010
27,12.55,12.30,0.048418,0.048852,0.048852,0.000010
28,12.55,12.31,0.046862,0.047512,0.047512,0.000010
29,12.54,12.31,0.045954,0.046796,0.046796,0.000010
30,12.56,12.32,0.045024,0.046479,0.046479,0.000010
31,12.57,12.33,0.043982,0.044802,0.044802,0.000010
32,12.54,12.34,0.043157,0.043905,0.043905,0.000010
33,12.43,12.34,0.042164,0.042734,0.042734,0.000010
34,12.41,12.34,0.041764,0.042270,0.042270,0.000010
35,12.52,12.35,0.040500,0.041678,0.041678,0.000010
36,12.56,12.35,0.040004,0.041108,0.041108,0.000010
37,12.54,12.36,0.039048,0.040327,0.040327,0.000010
38,12.49,12.36,0.038588,0.039405,0.039405,0.000010
39,12.38,12.36,0.037765,0.038958,0.038958,0.000010
40,12.41,12.36,0.037620,0.037952,0.037952,0.000010
41,12.39,12.36,0.036659,0.037452,0.037452,0.000010
42,12.33,12.36,0.036051,0.037278,0.037278,0.000010
43,12.46,12.37,0.035379,0.036479,0.036479,0.000010
44,12.46,12.37,0.034933,0.036551,0.036479,0.000010
45,12.52,12.37,0.034612,0.035927,0.035927,0.000010
46,12.53,12.37,0.033699,0.035384,0.035384,0.000010
47,12.58,12.38,0.033184,0.034221,0.034221,0.000010
48,12.53,12.38,0.032968,0.034062,0.034062,0.000010
49,12.44,12.38,0.032511,0.033567,0.033567,0.000010
50,12.54,12.39,0.031878,0.033437,0.033437,0.000010
51,12.50,12.39,0.031784,0.033119,0.033119,0.000010
52,12.38,12.39,0.031169,0.032599,0.032599,0.000010
53,12.41,12.39,0.030666,0.032096,0.032096,0.000010
54,12.53,12.39,0.030617,0.031324,0.031324,0.000010
55,12.41,12.39,0.029836,0.031446,0.031324,0.000010
56,12.41,12.39,0.029789,0.030769,0.030769,0.000010
57,12.43,12.39,0.029144,0.030529,0.030529,0.000010
58,12.35,12.39,0.028914,0.030857,0.030529,0.000010
59,12.43,12.39,0.028731,0.029412,0.029412,0.000010
60,12.39,12.39,0.028312,0.029615,0.029412,0.000010
61,12.35,12.39,0.028085,0.029617,0.029412,0.000010
62,12.45,12.39,0.027827,0.029381,0.029381,0.000010
63,12.49,12.39,0.027564,0.028796,0.028796,0.000010
64,12.40,12.39,0.027196,0.028813,0.028796,0.000010
65,12.44,12.40,0.026769,0.028670,0.028670,0.000010
66,12.40,12.40,0.026760,0.027856,0.027856,0.000010
67,12.43,12.40,0.026507,0.027801,0.027801,0.000010
68,12.45,12.40,0.026232,0.027162,0.027162,0.000010
69,12.40,12.40,0.025973,0.027776,0.027162,0.000010
70,12.40,12.40,0.025718,0.027079,0.027079,0.000010
71,12.47,12.40,0.025575,0.026703,0.026703,0.000010
72,12.55,12.40,0.025543,0.026661,0.026661,0.000010
73,12.47,12.40,0.025014,0.026326,0.026326,0.000010
74,12.38,12.40,0.025158,0.026676,0.026326,0.000010
75,12.40,12.40,0.024918,0.026015,0.026015,0.000010
76,12.42,12.40,0.024565,0.025617,0.025617,0.000010
77,12.37,12.40,0.024648,0.026104,0.025617,0.000010
78,12.38,12.40,0.024255,0.025830,0.025617,0.000010
79,12.37,12.40,0.024001,0.025521,0.025521,0.000010
80,12.36,12.40,0.024214,0.025621,0.025521,0.000010
