Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,15.68,15.68,1.025361,0.822228,0.822228,0.000010
2,14.77,15.23,0.552760,0.389572,0.389572,0.000010
3,14.81,15.09,0.254953,0.170065,0.170065,0.000010
4,15.01,15.07,0.142352,0.111893,0.111893,0.000010
5,15.06,15.07,0.091992,0.068197,0.068197,0.000010
6,15.12,15.08,0.059743,0.047992,0.047992,0.000010
7,15.20,15.09,0.044140,0.036326,0.036326,0.000010
8,15.36,15.13,0.033714,0.028369,0.028369,0.000010
9,15.50,15.17,0.027179,0.024051,0.024051,0.000010
10,15.50,15.20,0.023541,0.021695,0.021695,0.000010
11,15.53,15.23,0.021454,0.020412,0.020412,0.000010
12,15.54,15.26,0.020078,0.019060,0.019060,0.000010
13,15.55,15.28,0.018892,0.018218,0.018218,0.000010
14,15.62,15.30,0.018010,0.017475,0.017475,0.000010
15,15.61,15.32,0.017227,0.016878,0.016878,0.000010
16,15.61,15.34,0.016635,0.016493,0.016493,0.000010
17,15.60,15.36,0.016098,0.015978,0.015978,0.000010
18,15.59,15.37,0.015652,0.015746,0.015746,0.000010
19,15.63,15.38,0.015278,0.015479,0.015479,0.000010
20,15.63,15.40,0.014877,0.015165,0.015165,0.000010
21,15.63,15.41,0.014599,0.014876,0.014876,0.000010
22,15.62,15.42,0.014443,0.014660,0.014660,0.000010
23,15.60,15.42,0.014098,0.014527,0.014527,0.000010
24,15.61,15.43,0.013868,0.014366,0.014366,0.000010
25,15.58,15.44,0.013687,0.014129,0.014129,0.000010
26,15.58,15.44,0.013455,0.013997,0.013997,0.000010
27,15.57,15.45,0.013315,0.013867,0.013867,0.000010
28,15.57,15.45,0.013133,0.013744,0.013744,0.000010
29,15.49,15.45,0.013049,0.013748,0.013744,0.000010
30,15.56,15.46,0.012862,0.013610,0.013610,0.000010
31,15.55,15.46,0.012788,0.013427,0.013427,0.000010
32,15.49,15.46,0.012648,0.013461,0.013427,0.000010
33,15.57,15.46,0.012491,0.013249,0.013249,0.000010
34,15.58,15.47,0.012424,0.013228,0.013228,0.000010
35,15.57,15.47,0.012361,0.013191,0.013191,0.000010
36,15.57,15.47,0.012232,0.013108,0.013108,0.000010
37,15.59,15.48,0.012176,0.012955,0.012955,0.000010
38,15.51,15.48,0.012031,0.012973,0.012955,0.000010
39,15.58,15.48,0.011974,0.012855,0.012855,0.000010
40,15.49,15.48,0.011955,0.013001,0.012855,0.000010
41,15.48,15.48,0.011953,0.012937,0.012855,0.000010
42,15.57,15.48,0.011827,0.012846,0.012846,0.000010
43,15.56,15.48,0.011693,0.012730,0.012730,0.000010
44,15.82,15.49,0.011664,0.012624,0.012624,0.000010
45,15.93,15.50,0.011642,0.012576,0.012576,0.000010
46,16.15,15.52,0.011515,0.012627,0.012576,0.000010
47,15.56,15.52,0.011462,0.012478,0.012478,0.000010
48,15.57,15.52,0.011373,0.012461,0.012461,0.000010
49,15.54,15.52,0.011407,0.012429,0.012429,0.000010
50,15.52,15.52,0.011366,0.012483,0.012429,0.000010
51,15.56,15.52,0.011245,0.012376,0.012376,0.000010
52,15.52,15.52,0.011307,0.012392,0.012376,0.000010
53,15.56,15.52,0.011165,0.012281,0.012281,0.000010
54,15.57,15.52,0.011067,0.012253,0.012253,0.000010
55,15.48,15.52,0.011050,0.012275,0.012253,0.000010
56,15.50,15.52,0.011144,0.012258,0.012253,0.000010
57,15.68,15.52,0.010969,0.012186,0.012186,0.000010
58,15.52,15.52,0.011036,0.012271,0.012186,0.000010
59,15.57,15.52,0.010882,0.012109,0.012109,0.000010
60,15.52,15.52,0.010832,0.012205,0.012109,0.000010
61,15.55,15.52,0.010853,0.012024,0.012024,0.000010
62,15.48,15.52,0.010789,0.012066,0.012024,0.000010
63,15.58,15.52,0.010708,0.012006,0.012006,0.000010
64,15.54,15.52,0.010690,0.011928,0.011928,0.000010
65,15.64,15.53,0.010640,0.011924,0.011924,0.000010
66,15.61,15.53,0.010702,0.012010,0.011924,0.000010
67,15.65,15.53,0.010629,0.011892,0.011892,0.000010
68,15.59,15.53,0.010590,0.011899,0.011892,0.000010
69,15.70,15.53,0.010580,0.011845,0.011845,0.000010
70,15.61,15.53,0.010555,0.011864,0.011845,0.000010
71,15.57,15.53,0.010497,0.011852,0.011845,0.000010
72,15.58,15.53,0.010546,0.011879,0.011845,0.000010
73,15.64,15.54,0.010461,0.011845,0.011845,0.000010
74,15.54,15.54,0.010437,0.011823,0.011823,0.000010
75,15.58,15.54,0.010453,0.011778,0.011778,0.000010
76,15.52,15.54,0.010445,0.011936,0.011778,0.000010
77,15.46,15.54,0.010429,0.011783,0.011778,0.000010
78,15.56,15.54,0.010308,0.011684,0.011684,0.000010
79,15.52,15.54,0.010366,0.011922,0.011684,0.000010
80,15.50,15.54,0.010344,0.011733,0.011684,0.000010
