Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,40.91,40.91,1.301886,1.275036,1.275036,0.000010
2,40.15,40.53,1.234416,1.209336,1.209336,0.000010
3,40.86,40.64,1.137180,1.042811,1.042811,0.000010
4,42.05,40.99,0.910835,0.756996,0.756996,0.000010
5,42.37,41.27,0.587576,0.432468,0.432468,0.000010
6,42.42,41.46,0.403281,0.323556,0.323556,0.000010
7,42.56,41.62,0.313839,0.241580,0.241580,0.000010
8,42.61,41.74,0.256434,0.203490,0.203490,0.000010
9,42.55,41.83,0.216615,0.177992,0.177992,0.000010
10,42.48,41.90,0.193428,0.168160,0.168160,0.000010
11,42.43,41.94,0.175044,0.147635,0.147635,0.000010
12,42.34,41.98,0.159311,0.130315,0.130315,0.000010
13,42.30,42.00,0.147270,0.120736,0.120736,0.000010
14,42.27,42.02,0.136612,0.116280,0.116280,0.000010
15,42.32,42.04,0.124409,0.116051,0.116051,0.000010
16,42.31,42.06,0.116127,0.100840,0.100840,0.000010
17,42.31,42.07,0.108939,0.093502,0.093502,0.000010
18,42.27,42.08,0.102483,0.087162,0.087162,0.000010
19,42.29,42.09,0.095590,0.082910,0.082910,0.000010
20,42.20,42.10,0.092122,0.086197,0.082910,0.000010
21,42.29,42.11,0.086579,0.077814,0.077814,0.000010
22,42.26,42.12,0.081914,0.069596,0.069596,0.000010
23,42.25,42.12,0.077466,0.068296,0.068296,0.000010
24,42.24,42.13,0.073404,0.069988,0.068296,0.000010
25,42.30,42.13,0.070589,0.060969,0.060969,0.000010
26,42.19,42.14,0.067327,0.061110,0.060969,0.000010
27,42.24,42.14,0.065316,0.055158,0.055158,0.000010
28,42.20,42.14,0.062163,0.058604,0.055158,0.000010
29,42.31,42.15,0.059940,0.052125,0.052125,0.000010
30,42.28,42.15,0.058180,0.051346,0.051346,0.000010
31,42.31,42.16,0.055992,0.051110,0.051110,0.000010
32,42.26,42.16,0.053861,0.047737,0.047737,0.000010
33,42.19,42.16,0.052234,0.048289,0.047737,0.000010
34,42.29,42.16,0.051249,0.043442,0.043442,0.000010
35,42.17,42.16,0.049122,0.044371,0.043442,0.000010
36,42.30,42.17,0.047687,0.042341,0.042341,0.000010
37,42.33,42.17,0.046391,0.041135,0.041135,0.000010
38,42.31,42.18,0.045550,0.039582,0.039582,0.000010
39,44.86,42.25,0.043950,0.043425,0.039582,0.000010
40,50.72,42.46,0.043149,0.037604,0.037604,0.000010
41,50.58,42.66,0.042619,0.038615,0.037604,0.000010
42,50.60,42.84,0.041381,0.037938,0.037604,0.000010
43,50.67,43.03,0.040028,0.036288,0.036288,0.000010
44,50.66,43.20,0.039191,0.036056,0.036056,0.000010
45,50.67,43.37,0.038451,0.034364,0.034364,0.000010
46,50.68,43.52,0.037682,0.034257,0.034257,0.000010
47,50.66,43.68,0.036917,0.033961,0.033961,0.000010
48,50.66,43.82,0.036289,0.033363,0.033363,0.000010
49,50.65,43.96,0.035341,0.032501,0.032501,0.000010
50,50.67,44.10,0.035025,0.031820,0.031820,0.000010
