Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,15.69,15.69,0.912485,0.896488,0.896488,0.000010
2,14.20,14.94,0.874761,0.871798,0.871798,0.000010
3,14.31,14.73,0.825922,0.793618,0.793618,0.000010
4,14.43,14.66,0.727687,0.716681,0.716681,0.000010
5,14.40,14.61,0.659343,0.681773,0.681773,0.000010
6,14.68,14.62,0.620509,0.654627,0.654627,0.000010
7,14.69,14.63,0.581491,0.582139,0.582139,0.000010
8,14.88,14.66,0.545544,0.544308,0.544308,0.000010
9,14.60,14.65,0.497746,0.485209,0.485209,0.000010
10,14.35,14.62,0.433522,0.409778,0.409778,0.000010
11,14.30,14.59,0.362754,0.335356,0.335356,0.000010
12,14.36,14.57,0.323125,0.297875,0.297875,0.000010
13,14.35,14.56,0.301135,0.264832,0.264832,0.000010
14,14.41,14.55,0.280812,0.258783,0.258783,0.000010
15,14.40,14.54,0.264008,0.234093,0.234093,0.000010
16,14.39,14.53,0.250379,0.213460,0.213460,0.000010
17,14.38,14.52,0.240907,0.209652,0.209652,0.000010
18,14.33,14.51,0.232246,0.210299,0.209652,0.000010
19,14.37,14.50,0.225063,0.192426,0.192426,0.000010
20,14.38,14.49,0.217883,0.180857,0.180857,0.000010
21,14.42,14.49,0.211189,0.175205,0.175205,0.000010
22,15.07,14.52,0.205338,0.173578,0.173578,0.000010
23,14.91,14.53,0.200401,0.167965,0.167965,0.000010
24,14.65,14.54,0.196404,0.163154,0.163154,0.000010
25,14.61,14.54,0.192226,0.161614,0.161614,0.000010
26,14.42,14.54,0.189099,0.158190,0.158190,0.000010
27,14.38,14.53,0.185762,0.149680,0.149680,0.000010
28,14.42,14.53,0.182215,0.147638,0.147638,0.000010
29,14.35,14.52,0.179037,0.144143,0.144143,0.000010
30,14.35,14.52,0.176293,0.147288,0.144143,0.000010
31,14.35,14.51,0.173679,0.142275,0.142275,0.000010
32,14.42,14.51,0.170179,0.141607,0.141607,0.000010
33,14.38,14.50,0.167796,0.139979,0.139979,0.000010
34,14.33,14.50,0.165165,0.140778,0.139979,0.000010
35,14.44,14.50,0.162161,0.133223,0.133223,0.000010
36,14.32,14.49,0.160420,0.134901,0.133223,0.000010
37,14.35,14.49,0.158061,0.126933,0.126933,0.000010
38,14.30,14.48,0.155022,0.128636,0.126933,0.000010
39,14.39,14.48,0.152233,0.123220,0.123220,0.000010
40,14.33,14.48,0.151154,0.121084,0.121084,0.000010
41,14.32,14.47,0.148147,0.121836,0.121084,0.000010
42,14.38,14.47,0.145032,0.119741,0.119741,0.000010
43,14.27,14.47,0.142978,0.119879,0.119741,0.000010
44,14.38,14.46,0.140644,0.112370,0.112370,0.000010
45,14.28,14.46,0.138632,0.113565,0.112370,0.000010
46,14.26,14.46,0.135506,0.113022,0.112370,0.000010
47,14.35,14.45,0.133650,0.108799,0.108799,0.000010
48,14.37,14.45,0.130814,0.106506,0.106506,0.000010
49,14.37,14.45,0.128123,0.099906,0.099906,0.000010
50,14.37,14.45,0.124527,0.099209,0.099209,0.000010
51,14.30,14.45,0.123093,0.100717,0.099209,0.000010
52,14.34,14.44,0.121888,0.098873,0.098873,0.000010
53,14.40,14.44,0.119511,0.095998,0.095998,0.000010
54,14.32,14.44,0.118040,0.092728,0.092728,0.000010
55,14.34,14.44,0.115839,0.093080,0.092728,0.000010
56,14.30,14.44,0.114295,0.093710,0.092728,0.000010
57,14.28,14.43,0.113164,0.094306,0.092728,0.000010
58,14.33,14.43,0.112392,0.091572,0.091572,0.000010
59,14.38,14.43,0.110465,0.090158,0.090158,0.000010
60,14.35,14.43,0.109448,0.088108,0.088108,0.000010
61,14.28,14.43,0.108929,0.090862,0.088108,0.000010
62,14.37,14.43,0.107551,0.088056,0.088056,0.000010
63,14.35,14.43,0.106452,0.085262,0.085262,0.000010
64,14.32,14.42,0.105587,0.086470,0.085262,0.000010
65,14.36,14.42,0.104516,0.084955,0.084955,0.000010
66,14.94,14.43,0.103840,0.086094,0.084955,0.000010
67,14.75,14.44,0.102301,0.081930,0.081930,0.000010
68,14.76,14.44,0.101615,0.084717,0.081930,0.000010
69,14.91,14.45,0.100362,0.081688,0.081688,0.000010
70,14.85,14.45,0.099430,0.081412,0.081412,0.000010
71,14.69,14.46,0.098763,0.084114,0.081412,0.000010
72,14.37,14.45,0.097583,0.084938,0.081412,0.000010
73,14.13,14.45,0.097228,0.083705,0.081412,0.000010
74,14.13,14.45,0.095764,0.080372,0.080372,0.000010
75,14.29,14.44,0.095630,0.077005,0.077005,0.000010
76,14.56,14.45,0.094415,0.079949,0.077005,0.000010
77,14.08,14.44,0.093387,0.077112,0.077005,0.000010
78,14.11,14.44,0.093066,0.078174,0.077005,0.000010
79,14.21,14.43,0.091946,0.075428,0.075428,0.000010
80,14.45,14.43,0.092013,0.075058,0.075058,0.000010
81,14.32,14.43,0.091172,0.074357,0.074357,0.000010
