Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,15.63,15.63,0.533301,0.519709,0.519709,0.000010
2,13.71,14.67,0.505321,0.502921,0.502921,0.000010
3,13.88,14.41,0.472198,0.443659,0.443659,0.000010
4,13.95,14.29,0.384298,0.360911,0.360911,0.000010
5,14.06,14.25,0.310442,0.330540,0.330540,0.000010
6,13.99,14.20,0.280726,0.405886,0.330540,0.000010
7,14.12,14.19,0.242662,0.383218,0.330540,0.000010
8,14.20,14.19,0.201554,0.316475,0.316475,0.000010
9,14.22,14.20,0.177241,0.288012,0.288012,0.000010
10,14.31,14.21,0.162608,0.220368,0.220368,0.000010
11,14.28,14.21,0.153661,0.219481,0.219481,0.000010
12,14.28,14.22,0.143982,0.207712,0.207712,0.000010
13,14.37,14.23,0.130805,0.157642,0.157642,0.000010
14,14.30,14.24,0.121546,0.174627,0.157642,0.000010
15,14.38,14.25,0.113575,0.133112,0.133112,0.000010
16,14.44,14.26,0.102487,0.120173,0.120173,0.000010
17,14.32,14.26,0.094052,0.150559,0.120173,0.000010
18,14.29,14.26,0.086424,0.125356,0.120173,0.000010
19,14.37,14.27,0.080233,0.114483,0.114483,0.000010
20,14.37,14.27,0.073155,0.087347,0.087347,0.000010
21,14.34,14.28,0.067750,0.076866,0.076866,0.000010
22,14.24,14.28,0.062705,0.093299,0.076866,0.000010
23,14.33,14.28,0.060819,0.074395,0.074395,0.000010
24,14.31,14.28,0.057112,0.063681,0.063681,0.000010
25,14.28,14.28,0.054054,0.070842,0.063681,0.000010
26,14.36,14.28,0.051585,0.047399,0.047399,0.000010
27,14.20,14.28,0.049698,0.053144,0.047399,0.000010
28,14.34,14.28,0.047486,0.044418,0.044418,0.000010
29,14.21,14.28,0.045265,0.049099,0.044418,0.000010
30,14.28,14.28,0.043566,0.044089,0.044089,0.000010
31,14.17,14.28,0.042562,0.044338,0.044089,0.000010
32,14.21,14.27,0.041277,0.044139,0.044089,0.000010
33,14.30,14.27,0.039318,0.037683,0.037683,0.000010
