Epoch,Time(sec),AvgTime(sec),TrainLoss,ValLoss,BestValLoss,LR
1,11.83,11.83,1.114661,1.007151,1.007151,0.000010
2,12.78,12.30,0.856187,0.634460,0.634460,0.000010
3,12.76,12.46,0.490216,0.435616,0.435616,0.000010
4,12.80,12.54,0.360381,0.305694,0.305694,0.000010
5,12.79,12.59,0.251892,0.227640,0.227640,0.000010
6,12.80,12.63,0.175989,0.146997,0.146997,0.000010
7,12.81,12.65,0.100407,0.075538,0.075538,0.000010
8,12.79,12.67,0.052481,0.057892,0.057892,0.000010
9,12.80,12.68,0.040592,0.053033,0.053033,0.000010
10,12.79,12.69,0.033967,0.048848,0.048848,0.000010
11,12.79,12.70,0.030542,0.047222,0.047222,0.000010
12,12.79,12.71,0.027802,0.044818,0.044818,0.000010
13,12.81,12.72,0.025970,0.041587,0.041587,0.000010
14,12.80,12.72,0.025607,0.039137,0.039137,0.000010
15,12.81,12.73,0.024138,0.037351,0.037351,0.000010
16,12.73,12.73,0.023025,0.037963,0.037351,0.000010
17,12.81,12.73,0.022182,0.035188,0.035188,0.000010
18,12.81,12.74,0.022097,0.032829,0.032829,0.000010
19,12.81,12.74,0.021040,0.030920,0.030920,0.000010
20,12.82,12.75,0.020817,0.030898,0.030898,0.000010
21,12.80,12.75,0.020462,0.028622,0.028622,0.000010
22,12.81,12.75,0.019757,0.027907,0.027907,0.000010
23,12.81,12.75,0.019251,0.026573,0.026573,0.000010
24,12.79,12.76,0.018641,0.025726,0.025726,0.000010
25,12.75,12.76,0.018152,0.025963,0.025726,0.000010
26,12.81,12.76,0.018178,0.024532,0.024532,0.000010
27,12.81,12.76,0.017711,0.023974,0.023974,0.000010
28,12.76,12.76,0.017515,0.024583,0.023974,0.000010
29,12.80,12.76,0.017561,0.022873,0.022873,0.000010
30,12.79,12.76,0.016798,0.022854,0.022854,0.000010
31,12.80,12.76,0.016806,0.022076,0.022076,0.000010
32,12.81,12.76,0.016256,0.021344,0.021344,0.000010
33,12.80,12.77,0.016252,0.020697,0.020697,0.000010
34,12.75,12.76,0.016329,0.020706,0.020697,0.000010
35,12.80,12.77,0.015981,0.019586,0.019586,0.000010
36,12.74,12.76,0.015697,0.020163,0.019586,0.000010
37,12.79,12.77,0.015466,0.019234,0.019234,0.000010
38,12.83,12.77,0.015343,0.019130,0.019130,0.000010
39,12.80,12.77,0.015023,0.018988,0.018988,0.000010
40,12.80,12.77,0.015027,0.018231,0.018231,0.000010
41,12.75,12.77,0.014665,0.018512,0.018231,0.000010
42,12.80,12.77,0.014641,0.017651,0.017651,0.000010
43,12.81,12.77,0.014664,0.017467,0.017467,0.000010
44,12.81,12.77,0.014609,0.017204,0.017204,0.000010
45,12.81,12.77,0.014264,0.016837,0.016837,0.000010
